,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nemuro,JP,33.39,overcast clouds,43.32,145.57,イーストハーバーホテル
1,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.92,Hotel Lacolet
2,Qaanaaq,GL,-3.14,overcast clouds,77.48,-69.36,Hotel Qaanaaq
3,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.92,Hotel Lacolet
4,Tuktoyaktuk,CA,-16.6,scattered clouds,69.45,-133.04,Hunter's B&B
5,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.92,Hotel Lacolet
6,Nidzica,PL,48.78,overcast clouds,53.36,20.43,U Komtura
7,Yellowknife,CA,3.72,few clouds,62.46,-114.35,Slave Lake Inn Yellowknife
8,Busselton,AU,59.22,overcast clouds,-33.65,115.33,Broadwater Beach Resort
9,Los Llanos de Aridane,ES,68.13,broken clouds,28.66,-17.92,Valle Aridane
10,Ushuaia,AR,51.46,few clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
11,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.92,Hotel Lacolet
12,Port Augusta,AU,65.39,few clouds,-32.5,137.77,Hotel Commonwealth
13,Busselton,AU,59.22,overcast clouds,-33.65,115.33,Broadwater Beach Resort
14,Ulaangom,MN,5.77,clear sky,49.98,92.07,Их наяд буудал
